City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
173,Torbay,CA,2021-04-21 07:25:56,47.6666,-52.7314,35.01,100,90,17.27
174,Griffith,US,2021-04-21 07:25:56,41.5284,-87.4237,33.8,93,90,3.44
175,Nchelenge,ZM,2021-04-21 07:25:57,-9.3451,28.734,70.68,75,100,4.0
176,Madimba,TZ,2021-04-21 07:25:57,-10.4,40.3333,77.0,78,20,23.02
177,Chokurdakh,RU,2021-04-21 07:25:58,70.6333,147.9167,25.88,93,100,6.46
178,Bengkulu,ID,2021-04-21 07:25:58,-3.8004,102.2655,83.7,75,100,7.23
179,Washim,IN,2021-04-21 07:25:58,20.1,77.15,95.56,18,100,12.39
180,Deputatskiy,RU,2021-04-21 07:25:59,69.3,139.9,20.53,85,100,5.35
181,Baykit,RU,2021-04-21 07:25:59,61.67,96.37,32.0,75,100,4.74
182,Isla Mujeres,MX,2021-04-21 07:26:00,21.2311,-86.731,80.6,89,75,8.05
183,Agboville,CI,2021-04-21 07:26:00,5.928,-4.2132,76.06,96,100,1.5
184,Labuan,MY,2021-04-21 07:26:00,5.2767,115.2417,87.01,66,20,4.61
185,Mount Isa,AU,2021-04-21 07:26:01,-20.7333,139.5,91.4,25,100,10.36
186,Acapulco,MX,2021-04-21 07:21:34,16.8634,-99.8901,75.96,61,5,4.32
187,Nurota,UZ,2021-04-21 07:26:01,40.5614,65.6886,60.8,44,0,16.11
188,Sohag,EG,2021-04-21 07:26:02,26.557,31.6948,78.8,34,0,8.05
189,La Fleche,FR,2021-04-21 07:26:02,47.6982,-0.0755,51.01,81,0,6.91
190,Media Luna,CU,2021-04-21 07:26:03,20.1419,-77.435,76.03,79,14,2.39
191,Aksha,RU,2021-04-21 07:26:03,50.2814,113.2867,75.58,14,23,14.05
192,Pedernales,DO,2021-04-21 07:26:04,18.0384,-71.744,77.0,58,18,5.32
193,Zhangjiakou,CN,2021-04-21 07:26:04,40.81,114.8794,66.09,31,97,20.85
194,Baneh,IR,2021-04-21 07:26:05,35.9975,45.8853,78.15,20,29,8.88
195,Tiverton,GB,2021-04-21 07:26:05,50.9,-3.4833,50.0,82,88,4.0
196,Srisailam,IN,2021-04-21 07:26:05,16.0833,78.8667,98.78,26,15,5.57
197,Bogorodskoye,RU,2021-04-21 07:26:06,56.55,37.8833,34.93,99,100,2.21
198,Port Lincoln,AU,2021-04-21 07:26:06,-34.7333,135.8667,59.94,58,100,13.11
199,Zlobin,HR,2021-04-21 07:26:07,45.2924,14.6541,55.4,67,20,5.75
200,Mataram,ID,2021-04-21 07:26:07,-8.5833,116.1167,87.8,48,40,10.36
201,Shush,IR,2021-04-21 07:26:07,32.1942,48.2436,98.76,12,90,3.91
202,Lompoc,US,2021-04-21 07:26:08,34.6391,-120.4579,51.8,82,100,6.91
203,Westport,US,2021-04-21 07:26:08,41.1415,-73.3579,52.0,71,1,3.44
204,Praia,CV,2021-04-21 07:26:09,14.9215,-23.5087,68.0,77,0,10.36
205,Axim,GH,2021-04-21 07:26:09,4.8699,-2.2405,81.88,78,100,4.7
206,Innisfail,AU,2021-04-21 07:26:09,-17.5333,146.0333,73.76,95,100,3.24
207,Eskil,TR,2021-04-21 07:26:10,38.4017,33.4131,56.34,39,0,10.87
208,Ancud,CL,2021-04-21 07:26:10,-41.8697,-73.8203,46.0,100,90,2.3
209,Karratha,AU,2021-04-21 07:26:10,-20.7377,116.8463,88.86,25,0,11.61
210,Torrijos,ES,2021-04-21 07:26:11,39.9819,-4.2835,57.0,76,0,4.61
211,Sladkovo,RU,2021-04-21 07:26:11,55.5284,70.3385,43.65,42,90,14.56
212,Nijar,ES,2021-04-21 07:25:12,36.9665,-2.206,60.8,88,0,3.44
213,Hillsborough,US,2021-04-21 07:26:12,37.5741,-122.3794,51.01,87,90,3.44
214,Ust-Maya,RU,2021-04-21 07:26:12,60.4167,134.5333,32.16,57,100,3.02
215,Padang,ID,2021-04-21 07:24:23,-0.9492,100.3543,87.8,66,20,5.75
216,Berlevag,NO,2021-04-21 07:26:13,70.8578,29.0864,42.8,56,0,18.41
217,San Rafael,AR,2021-04-21 07:26:13,-34.6177,-68.3301,53.62,86,100,21.63
218,Kahului,US,2021-04-21 07:24:10,20.8947,-156.47,75.2,94,20,4.61
219,Cabo San Lucas,MX,2021-04-21 07:23:33,22.8909,-109.9124,64.99,48,3,5.86
220,Kholodnyy,RU,2021-04-21 07:26:14,62.7167,147.95,33.73,89,90,3.8
221,Kenai,US,2021-04-21 07:26:14,60.5544,-151.2583,37.0,93,1,10.36
222,Sur,OM,2021-04-21 07:26:15,22.5667,59.5289,91.9,32,0,6.96
223,Pacific Grove,US,2021-04-21 07:26:15,36.6177,-121.9166,51.8,87,90,4.61
224,Tessalit,ML,2021-04-21 07:26:16,20.1986,1.0114,79.32,8,0,5.17
225,Maltahohe,NA,2021-04-21 07:26:16,-24.8333,16.9833,66.47,28,35,12.24
226,Dom Pedro,BR,2021-04-21 07:26:16,-4.4833,-44.45,71.26,99,92,2.3
227,Nelson Bay,AU,2021-04-21 07:26:17,-32.7167,152.15,64.4,52,20,5.75
228,Sola,VU,2021-04-21 07:26:17,-13.8833,167.55,82.4,83,90,4.61
229,Muroto,JP,2021-04-21 07:26:18,33.2833,134.15,69.8,73,40,9.22
230,Oriximina,BR,2021-04-21 07:26:18,-1.7656,-55.8661,73.4,94,100,1.52
231,Platanos,GR,2021-04-21 07:26:18,37.6667,21.6167,60.8,63,20,4.61
232,Perivolion,GR,2021-04-21 07:26:19,39.4206,20.0147,59.0,67,40,5.75
233,Marystown,CA,2021-04-21 07:26:19,47.1666,-55.1483,37.78,82,94,10.45
234,Nishihara,JP,2021-04-21 07:26:19,26.1842,127.7558,75.2,73,75,23.02
235,Manyana,BW,2021-04-21 07:26:20,-23.4,21.7167,64.33,38,0,11.39
236,Ahipara,NZ,2021-04-21 07:23:07,-35.1667,173.1667,63.05,84,100,12.01
237,Isangel,VU,2021-04-21 07:26:20,-19.55,169.2667,82.4,83,40,9.64
238,Victoria,HK,2021-04-21 07:22:05,22.2855,114.1577,80.6,54,20,12.66
239,Upernavik,GL,2021-04-21 07:26:21,72.7868,-56.1549,5.56,86,94,6.69
240,Praia Da Vitoria,PT,2021-04-21 07:26:21,38.7333,-27.0667,62.01,82,40,6.78
241,Uruguaiana,BR,2021-04-21 07:26:22,-29.7547,-57.0883,64.4,77,0,11.5
242,Cidreira,BR,2021-04-21 07:26:22,-30.1811,-50.2056,69.91,76,44,16.82
243,Kavaratti,IN,2021-04-21 07:26:23,10.5669,72.642,84.24,71,68,7.56
244,Tanout,NE,2021-04-21 07:26:23,14.9709,8.8879,87.01,6,18,10.38
245,Severo-Kurilsk,RU,2021-04-21 07:26:23,50.6789,156.125,34.66,95,100,21.88
246,Vestmannaeyjar,IS,2021-04-21 07:26:24,63.4427,-20.2734,42.69,71,100,8.57
247,Itarema,BR,2021-04-21 07:26:24,-2.9248,-39.9167,74.82,88,100,3.13
248,Makakilo City,US,2021-04-21 07:22:13,21.3469,-158.0858,78.01,69,90,6.29
249,Les Cayes,HT,2021-04-21 07:26:25,18.2,-73.75,74.88,85,100,4.94
250,Port Hedland,AU,2021-04-21 07:26:25,-20.3167,118.5667,89.6,33,1,17.27
251,San Luis,AR,2021-04-21 07:24:42,-33.295,-66.3356,70.59,59,71,27.11
252,Moctezuma,MX,2021-04-21 07:26:26,29.8,-109.6667,65.17,21,61,4.41
253,Teguldet,RU,2021-04-21 07:26:26,57.3064,88.1667,30.92,67,100,4.32
